student_id,assignment_id,assignment_type,num_questions,difficulty,days_until_due,date_assigned,date_submitted,time_spent_minutes,num_work_sessions,completed_on_time,submitted_late_days,prior_completion_rate,prior_avg_grade,prior_avg_homework_time
S136,A13,coding,16,1,3,2026-01-03,2026-01-03,50.6,1,1,0,0.87,96.1,51.9
S145,A28,reading,6,1,2,2026-02-03,2026-02-04,29.6,1,1,0,0.95,82.5,43.4
S134,A13,coding,10,3,2,2026-01-28,2026-01-30,55.3,2,1,0,0.76,81.4,47.5
S104,A22,quiz_prep,19,1,1,2026-01-21,2026-01-21,17.0,1,1,0,1.0,76.5,30.1
S142,A8,coding,7,3,6,2026-02-02,2026-02-07,62.5,1,1,0,0.85,78.1,62.5
S119,A27,coding,16,4,5,2026-01-26,2026-01-31,77.9,1,1,0,0.69,86.7,15.8
S144,A19,quiz_prep,23,3,4,2026-01-09,2026-01-11,68.4,1,1,0,0.89,71.0,39.0
S112,A27,essay,19,5,4,2026-02-13,2026-02-14,133.3,1,1,0,0.77,86.6,32.8
S147,A12,quiz_prep,14,4,5,2026-02-06,2026-02-09,45.1,2,1,0,0.83,79.0,43.2
S119,A26,quiz_prep,16,1,5,2026-02-23,2026-02-24,38.2,2,1,0,0.87,100.0,53.3
S100,A20,coding,9,1,4,2026-01-14,2026-01-15,40.8,2,1,0,0.82,91.9,44.6
S127,A38,quiz_prep,22,1,5,2026-02-11,2026-02-15,24.1,3,1,0,0.9,81.4,64.7
S120,A30,essay,14,3,1,2026-01-29,2026-01-30,72.2,1,1,0,1.0,79.5,41.6
S143,A14,quiz_prep,14,3,6,2026-01-31,2026-02-06,45.7,1,1,0,0.95,96.0,43.0
S150,A11,reading,5,5,4,2026-01-19,2026-01-22,57.6,1,1,0,0.94,68.1,27.5
S132,A40,coding,9,2,4,2026-01-06,2026-01-12,52.3,3,0,2,0.72,93.2,56.9
S148,A16,coding,6,4,6,2026-01-15,2026-01-22,72.4,1,0,1,0.73,84.9,41.1
S112,A10,reading,19,5,1,2026-01-03,2026-01-04,59.7,1,1,0,0.76,85.8,55.8
S115,A31,quiz_prep,23,5,6,2026-02-24,2026-03-04,92.2,1,0,2,0.89,93.7,47.6
S149,A5,essay,12,2,1,2026-01-27,2026-01-27,48.1,1,1,0,0.9,90.8,29.3
S140,A37,worksheet,15,1,3,2026-02-15,2026-02-18,36.2,3,1,0,0.78,86.9,39.0
S144,A25,essay,16,2,1,2026-01-26,2026-01-26,86.0,1,1,0,1.0,91.8,43.7
S115,A10,reading,19,1,5,2026-02-27,2026-02-27,31.1,1,1,0,0.95,90.4,31.0
S148,A7,essay,5,2,4,2026-01-15,2026-01-18,44.8,2,1,0,0.8,94.3,32.0
S111,A34,essay,17,4,6,2026-01-04,2026-01-07,86.2,2,1,0,0.86,75.6,38.6
S135,A16,reading,23,3,5,2026-01-30,2026-01-30,50.6,1,1,0,0.79,79.0,56.4
S108,A30,quiz_prep,13,5,4,2026-02-05,2026-02-05,78.9,3,1,0,0.82,77.3,34.4
S138,A21,essay,11,5,4,2026-02-09,2026-02-13,107.1,2,1,0,0.9,74.7,44.7
S146,A33,essay,9,5,6,2026-02-23,2026-02-23,89.8,2,1,0,0.63,79.2,14.1
S135,A29,worksheet,22,5,5,2026-02-17,2026-02-21,69.9,1,1,0,0.84,80.6,48.2
S130,A29,coding,20,4,4,2026-02-18,2026-02-22,82.3,1,1,0,0.85,62.0,35.6
S115,A18,quiz_prep,13,1,1,2026-02-01,2026-02-02,31.0,3,1,0,0.83,81.2,39.1
S140,A16,coding,12,3,1,2026-01-29,2026-01-30,62.1,2,1,0,0.97,83.8,49.8
S104,A19,worksheet,15,1,1,2026-01-18,2026-01-18,27.1,1,1,0,0.84,85.9,40.1
S121,A21,quiz_prep,11,3,3,2026-01-06,2026-01-11,59.1,2,0,2,0.72,74.2,22.2
S108,A10,worksheet,21,4,1,2026-01-25,2026-01-25,62.2,1,1,0,0.72,80.0,42.8
S144,A10,worksheet,14,2,5,2026-01-05,2026-01-07,48.5,2,1,0,0.91,99.6,58.0
S126,A27,coding,19,2,1,2026-02-04,2026-02-05,43.6,2,1,0,0.79,72.2,22.6
S129,A27,reading,23,4,6,2026-01-14,2026-01-14,62.6,2,1,0,0.83,71.6,49.1
S126,A25,quiz_prep,17,2,6,2026-02-14,2026-02-14,41.9,1,1,0,0.72,87.3,38.5
S101,A37,essay,22,4,3,2026-01-31,2026-02-02,111.9,4,1,0,0.84,88.1,57.0
S100,A23,coding,11,5,4,2026-02-18,2026-02-22,86.3,1,1,0,0.79,89.8,37.5
S124,A27,quiz_prep,14,3,2,2026-02-17,2026-02-17,55.3,3,1,0,0.91,96.0,31.4
S147,A35,quiz_prep,24,1,4,2026-02-27,2026-03-01,54.0,1,1,0,0.87,87.4,48.3
S114,A32,worksheet,9,3,2,2026-01-18,2026-01-19,36.7,2,1,0,0.97,100.0,27.5
S127,A32,reading,12,5,5,2026-01-25,2026-01-29,80.0,3,1,0,0.7,97.6,34.5
S121,A26,worksheet,6,4,6,2026-02-23,2026-02-27,59.9,1,1,0,1.0,81.9,40.7
S129,A9,quiz_prep,10,4,5,2026-02-04,2026-02-04,52.0,1,1,0,0.86,98.1,31.0
S101,A26,quiz_prep,19,3,3,2026-02-06,2026-02-08,77.1,1,1,0,0.84,86.9,45.8
S142,A2,reading,15,4,1,2026-02-11,2026-02-13,38.3,3,0,1,0.72,88.5,25.9
S127,A9,essay,17,1,3,2026-01-12,2026-01-15,39.2,1,1,0,1.0,79.2,27.0
S103,A17,essay,8,5,6,2026-01-21,2026-01-26,91.4,1,1,0,0.87,81.2,11.3
S113,A30,coding,8,4,5,2026-01-22,2026-01-22,66.9,2,1,0,0.75,93.9,33.1
S148,A25,coding,10,5,4,2026-02-18,2026-02-19,73.2,2,1,0,0.8,84.9,41.0
S126,A17,reading,14,5,2,2026-01-31,2026-02-02,60.9,1,1,0,1.0,90.4,52.5
S101,A35,reading,9,2,1,2026-01-23,2026-01-23,25.2,1,1,0,0.88,83.7,31.8
S114,A5,reading,15,2,1,2026-02-18,2026-02-18,33.2,1,1,0,0.86,88.8,58.1
S101,A16,worksheet,6,5,6,2026-02-23,2026-02-26,70.2,2,1,0,0.83,83.6,38.8
S101,A40,worksheet,14,4,3,2026-01-16,2026-01-17,53.9,1,1,0,0.78,78.7,46.0
S108,A31,reading,19,4,5,2026-02-06,2026-02-09,54.0,1,1,0,0.82,69.4,48.8
S113,A30,coding,22,1,3,2026-02-19,2026-02-22,68.6,1,1,0,0.97,71.4,37.4
S123,A11,quiz_prep,19,1,6,2026-02-08,2026-02-12,40.6,1,1,0,0.57,95.6,27.7
S147,A8,worksheet,5,1,5,2026-01-20,2026-01-24,8.9,3,1,0,0.9,79.5,49.4
S106,A38,reading,17,5,2,2026-03-01,2026-03-07,63.2,1,0,4,0.76,88.6,34.0
S119,A37,essay,13,5,4,2026-01-26,2026-01-29,101.2,1,1,0,0.91,100.0,43.5
S145,A13,reading,6,1,6,2026-02-07,2026-02-14,12.2,1,0,1,0.86,95.4,35.4
S144,A16,reading,23,1,2,2026-02-14,2026-02-15,51.4,2,1,0,0.81,73.6,60.1
S149,A20,quiz_prep,7,3,1,2026-02-21,2026-02-23,42.5,2,0,1,0.73,96.9,35.4
S107,A37,reading,7,5,1,2026-01-23,2026-01-24,46.4,2,1,0,0.81,99.6,34.8
S134,A28,coding,19,5,2,2026-01-05,2026-01-06,103.6,1,1,0,0.88,91.5,30.3
S132,A22,reading,23,3,6,2026-02-24,2026-02-26,49.4,2,1,0,0.72,83.1,30.6
S126,A32,reading,7,3,2,2026-01-28,2026-01-29,28.5,1,1,0,0.94,79.7,46.6
S123,A30,worksheet,7,3,1,2026-01-28,2026-01-29,36.9,2,1,0,0.9,91.6,55.3
S111,A34,coding,21,5,6,2026-02-09,2026-02-16,108.3,1,0,1,0.86,96.6,30.7
S134,A31,essay,24,3,5,2026-01-28,2026-01-31,115.4,2,1,0,0.84,100.0,53.1
S146,A38,coding,8,4,6,2026-01-21,2026-01-21,73.1,1,1,0,1.0,83.2,41.2
S115,A6,coding,22,1,1,2026-02-26,2026-02-26,51.6,1,1,0,0.7,78.9,39.6
S128,A16,essay,21,5,3,2026-02-06,2026-02-06,145.9,1,1,0,0.72,60.0,49.6
S139,A25,coding,21,5,6,2026-01-02,2026-01-06,98.2,1,1,0,0.77,88.8,38.2
S131,A21,worksheet,11,3,1,2026-02-01,2026-02-02,31.4,2,1,0,1.0,84.4,32.9
S113,A23,coding,16,5,5,2026-01-22,2026-01-27,112.3,2,1,0,0.93,80.2,41.5
S117,A39,coding,8,1,2,2026-02-05,2026-02-10,29.4,1,0,3,0.83,75.1,38.7
S100,A34,worksheet,13,5,2,2026-01-06,2026-01-08,58.1,2,1,0,1.0,87.3,49.1
S115,A27,essay,7,4,4,2026-02-05,2026-02-09,69.3,2,1,0,0.86,77.6,23.0
S148,A16,essay,10,1,4,2026-02-11,2026-02-12,25.6,2,1,0,0.83,78.5,57.8
S145,A32,essay,16,4,2,2026-02-20,2026-02-21,104.1,1,1,0,0.88,87.6,38.7
S101,A6,coding,5,4,2,2026-01-15,2026-01-16,60.2,2,1,0,0.84,89.5,29.7
S125,A16,coding,7,4,3,2026-02-12,2026-02-15,81.8,3,1,0,0.68,76.9,49.6
S137,A24,essay,21,4,5,2026-02-05,2026-02-07,112.7,2,1,0,1.0,80.3,39.9
S133,A23,essay,14,3,3,2026-02-17,2026-02-17,76.1,1,1,0,0.77,80.6,29.0
S135,A22,coding,22,4,4,2026-02-14,2026-02-18,79.2,1,1,0,0.87,83.9,44.5
S129,A18,coding,21,1,5,2026-01-17,2026-01-21,64.1,1,1,0,0.8,78.2,35.7
S114,A8,worksheet,15,4,4,2026-01-21,2026-01-23,57.3,2,1,0,0.76,87.9,28.2
S107,A35,worksheet,22,4,6,2026-01-13,2026-01-17,77.5,1,1,0,0.83,99.4,33.1
S113,A31,coding,6,3,3,2026-02-16,2026-02-23,54.0,3,0,4,0.87,79.5,39.5
S137,A34,quiz_prep,13,4,6,2026-01-19,2026-01-20,59.0,5,1,0,0.89,84.7,51.3
S106,A13,coding,15,3,1,2026-01-15,2026-01-15,67.7,2,1,0,0.73,95.6,42.2
S123,A12,coding,11,4,5,2026-01-01,2026-01-03,84.8,1,1,0,0.83,83.5,38.1
S145,A35,worksheet,17,5,6,2026-01-18,2026-01-26,85.0,3,0,2,0.77,100.0,37.6
S102,A4,quiz_prep,20,5,4,2026-01-19,2026-01-20,81.4,2,1,0,0.97,76.3,54.5
S144,A9,essay,5,3,4,2026-01-07,2026-01-09,60.9,2,1,0,0.9,78.9,41.9
S100,A37,coding,12,2,1,2026-01-31,2026-01-31,48.0,3,1,0,0.83,77.6,33.2
S130,A29,coding,17,2,5,2026-01-12,2026-01-17,59.2,1,1,0,1.0,66.1,42.1
S103,A17,essay,6,4,2,2026-01-08,2026-01-09,64.1,1,1,0,0.69,77.4,32.3
S104,A26,essay,11,5,5,2026-01-05,2026-01-05,100.3,2,1,0,0.78,91.4,27.6
S136,A4,worksheet,21,1,6,2026-01-10,2026-01-13,36.6,1,1,0,1.0,97.4,42.1
S136,A20,reading,17,4,3,2026-01-16,2026-01-16,42.8,2,1,0,0.75,73.8,36.8
S107,A36,essay,22,1,6,2026-02-08,2026-02-12,60.2,2,1,0,0.87,94.0,19.3
S138,A40,worksheet,16,2,4,2026-02-19,2026-02-26,45.8,2,0,3,0.74,66.2,28.1
S133,A25,essay,5,2,4,2026-02-28,2026-03-04,35.2,2,1,0,0.9,94.0,35.9
S128,A20,quiz_prep,24,1,3,2026-01-28,2026-01-28,50.1,1,1,0,0.87,80.6,41.4
S119,A37,quiz_prep,19,3,2,2026-01-04,2026-01-04,55.3,1,1,0,0.71,70.8,52.4
S139,A7,worksheet,8,1,5,2026-02-10,2026-02-13,25.8,1,1,0,1.0,69.5,48.2
S113,A17,reading,16,4,5,2026-01-11,2026-01-11,57.2,2,1,0,0.76,91.4,36.7
S115,A12,quiz_prep,16,5,5,2026-01-05,2026-01-10,48.4,1,1,0,0.91,82.7,30.1
S110,A1,essay,15,4,1,2026-01-29,2026-01-30,86.5,1,1,0,1.0,87.2,50.5
S144,A39,essay,6,1,5,2026-01-19,2026-01-19,40.9,1,1,0,0.86,66.1,32.7
S102,A15,coding,20,4,3,2026-02-15,2026-02-18,93.4,1,1,0,0.87,85.5,41.7
S118,A30,reading,13,3,5,2026-02-13,2026-02-13,41.3,1,1,0,0.81,78.8,64.1
S114,A17,quiz_prep,24,5,2,2026-02-12,2026-02-13,82.8,1,1,0,0.72,78.8,36.2
S112,A28,reading,12,5,4,2026-02-04,2026-02-04,52.9,2,1,0,0.76,96.2,45.2
S114,A10,coding,18,1,2,2026-02-22,2026-02-22,49.9,2,1,0,0.77,100.0,23.9
S109,A5,reading,18,2,2,2026-01-11,2026-01-13,35.6,1,1,0,0.89,79.4,39.2
S150,A20,quiz_prep,5,4,1,2026-02-17,2026-02-17,50.8,1,1,0,0.89,88.7,40.5
S136,A19,essay,15,1,3,2026-01-08,2026-01-10,41.5,3,1,0,0.98,95.5,36.8
S129,A20,essay,24,1,2,2026-01-18,2026-01-19,74.5,1,1,0,0.88,95.5,44.6
S132,A35,essay,9,3,3,2026-01-29,2026-01-31,65.2,2,1,0,0.9,93.8,37.8
S105,A39,reading,7,1,4,2026-02-26,2026-02-27,22.3,1,1,0,0.87,86.5,41.0
S127,A21,quiz_prep,22,1,1,2026-01-17,2026-01-18,32.1,2,1,0,1.0,77.0,47.5
S101,A6,worksheet,23,3,5,2026-02-13,2026-02-14,53.4,1,1,0,0.94,80.3,37.8
S136,A38,reading,14,4,4,2026-02-18,2026-02-21,43.3,1,1,0,0.94,89.1,26.7
